Incidente;Cidade;NODE;ME3 Participação Cons;ME3 Evento Cidade;Sistema;Rede Rev.;Incidente.1;Data Inicio;Data Fechamento;Soma de PeriodoNovo;Soma de Ativos Afetados Rev.;Soma de Ativos Cidade;Sintoma;Parte Rede;Cidade.1;UF;Vol Ligações;Solução Rev.
INM00000723113;PORTO ALEGRE - CABO;RBTALB;0,02;0,09;SGO;HFC;INM00000723113;01/05/2025 01:00;01/05/2025 09:55;535;1;5805;Sem Sinal;COAXIAL;PORTO ALEGRE;RS;;CABO COAXIAL - VANDALISMO
INM00000723132;SAO LEOPOLDO - CABO;SAN01A;0,14;5,29;SGO;HFC;INM00000723132;01/05/2025 01:59;01/05/2025 14:10;731;4;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CAIXA DE EMENDA - DANIFICADA
INM00000723132;SAO LEOPOLDO - CABO;SDU03A;0,14;5,29;SGO;HFC;INM00000723132;01/05/2025 01:59;01/05/2025 14:10;731;4;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CAIXA DE EMENDA - DANIFICADA
INM00000723140;SAO LEOPOLDO - CABO;STE03A;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE03B;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE05A;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE05B;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE07A;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE07B;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE08A;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE08B;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE09A;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE09B;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE10A;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE10B;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE12A;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE12B;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
INM00000723140;SAO LEOPOLDO - CABO;STE13A;0,07;2,91;SGO;HFC;INM00000723140;01/05/2025 02:11;01/05/2025 02:35;24;67;553;Sem Sinal;FIBRA ÓPTICA;SAO LEOPOLDO;RS;;CABO OPTICA - MELHORIA DE REDE
